client_id,Delinquent90
75001,0.04
75002,0.58
75003,0.0
75004,0.12
75005,0.0
75006,0.06
75007,0.02
75008,0.0
75009,0.01
75010,0.07
75011,0.15
75012,0.01
75013,0.09
75014,0.0
75015,0.37
75016,0.27
75017,0.18
75018,0.02
75019,0.0
75020,0.1
75021,0.03
75022,0.06
75023,0.13
75024,0.01
75025,0.04
75026,0.23
75027,0.0
75028,0.0
75029,0.04
75030,0.0
75031,0.01
75032,0.0
75033,0.03
75034,0.06
75035,0.01
75036,0.0
75037,0.02
75038,0.0
75039,0.0
75040,0.11
75041,0.02
75042,0.02
75043,0.01
75044,0.01
75045,0.04
75046,0.1
75047,0.01
75048,0.04
75049,0.2
75050,0.18
75051,0.0
75052,0.0
75053,0.32
75054,0.0
75055,0.01
75056,0.03
75057,0.03
75058,0.05
75059,0.02
75060,0.05
75061,0.16
75062,0.0
75063,0.09
75064,0.0
75065,0.05
75066,0.02
75067,0.03
75068,0.03
75069,0.04
75070,0.0
75071,0.03
75072,0.08
75073,0.05
75074,0.03
75075,0.12
75076,0.01
75077,0.01
75078,0.07
75079,0.15
75080,0.0
75081,0.02
75082,0.17
75083,0.01
75084,0.04
75085,0.0
75086,0.02
75087,0.04
75088,0.0
75089,0.0
75090,0.03
75091,0.0
75092,0.04
75093,0.17
75094,0.0
75095,0.03
75096,0.05
75097,0.0
75098,0.01
75099,0.02
75100,0.08
75101,0.12
75102,0.03
75103,0.0
75104,0.02
75105,0.16
75106,0.07
75107,0.02
75108,0.02
75109,0.0
75110,0.01
75111,0.0
75112,0.13
75113,0.0
75114,0.01
75115,0.0
75116,0.04
75117,0.0
75118,0.0
75119,0.01
75120,0.38
75121,0.0
75122,0.03
75123,0.0
75124,0.15
75125,0.01
75126,0.0
75127,0.0
75128,0.02
75129,0.2
75130,0.04
75131,0.16
75132,0.03
75133,0.31
75134,0.0
75135,0.24
75136,0.03
75137,0.13
75138,0.0
75139,0.0
75140,0.07
75141,0.0
75142,0.0
75143,0.1
75144,0.02
75145,0.16
75146,0.41
75147,0.17
75148,0.01
75149,0.05
75150,0.03
75151,0.37
75152,0.03
75153,0.17
75154,0.03
75155,0.01
75156,0.01
75157,0.0
75158,0.0
75159,0.0
75160,0.02
75161,0.04
75162,0.01
75163,0.28
75164,0.02
75165,0.01
75166,0.0
75167,0.06
75168,0.06
75169,0.02
75170,0.02
75171,0.13
75172,0.03
75173,0.05
75174,0.01
75175,0.01
75176,0.0
75177,0.03
75178,0.01
75179,0.0
75180,0.01
75181,0.0
75182,0.11
75183,0.07
75184,0.0
75185,0.35
75186,0.07
75187,0.06
75188,0.0
75189,0.05
75190,0.0
75191,0.08
75192,0.05
75193,0.09
75194,0.0
75195,0.34
75196,0.0
75197,0.07
75198,0.04
75199,0.14
75200,0.03
75201,0.02
75202,0.29
75203,0.05
75204,0.0
75205,0.06
75206,0.01
75207,0.02
75208,0.2
75209,0.0
75210,0.02
75211,0.0
75212,0.08
75213,0.16
75214,0.03
75215,0.18
75216,0.03
75217,0.01
75218,0.15
75219,0.05
75220,0.06
75221,0.02
75222,0.02
75223,0.0
75224,0.01
75225,0.04
75226,0.03
75227,0.0
75228,0.0
75229,0.05
75230,0.09
75231,0.12
75232,0.02
75233,0.16
75234,0.0
75235,0.07
75236,0.0
75237,0.05
75238,0.12
75239,0.07
75240,0.0
75241,0.0
75242,0.0
75243,0.25
75244,0.0
75245,0.0
75246,0.14
75247,0.01
75248,0.01
75249,0.01
75250,0.0
75251,0.05
75252,0.0
75253,0.01
75254,0.0
75255,0.02
75256,0.0
75257,0.0
75258,0.15
75259,0.02
75260,0.17
75261,0.11
75262,0.05
75263,0.08
75264,0.0
75265,0.0
75266,0.03
75267,0.02
75268,0.01
75269,0.01
75270,0.0
75271,0.03
75272,0.05
75273,0.36
75274,0.0
75275,0.18
75276,0.0
75277,0.06
75278,0.0
75279,0.07
75280,0.0
75281,0.01
75282,0.05
75283,0.0
75284,0.02
75285,0.02
75286,0.0
75287,0.0
75288,0.09
75289,0.08
75290,0.01
75291,0.0
75292,0.0
75293,0.06
75294,0.38
75295,0.04
75296,0.06
75297,0.0
75298,0.0
75299,0.01
75300,0.0
75301,0.06
75302,0.39
75303,0.04
75304,0.0
75305,0.21
75306,0.0
75307,0.01
75308,0.05
75309,0.0
75310,0.05
75311,0.01
75312,0.06
75313,0.0
75314,0.21
75315,0.0
75316,0.0
75317,0.01
75318,0.02
75319,0.19
75320,0.01
75321,0.21
75322,0.01
75323,0.02
75324,0.04
75325,0.01
75326,0.32
75327,0.04
75328,0.25
75329,0.04
75330,0.1
75331,0.0
75332,0.0
75333,0.0
75334,0.11
75335,0.0
75336,0.12
75337,0.01
75338,0.22
75339,0.0
75340,0.02
75341,0.01
75342,0.01
75343,0.0
75344,0.07
75345,0.11
75346,0.0
75347,0.08
75348,0.04
75349,0.0
75350,0.04
75351,0.0
75352,0.0
75353,0.04
75354,0.0
75355,0.28
75356,0.0
75357,0.25
75358,0.12
75359,0.0
75360,0.01
75361,0.01
75362,0.3
75363,0.06
75364,0.0
75365,0.0
75366,0.04
75367,0.0
75368,0.0
75369,0.0
75370,0.29
75371,0.0
75372,0.0
75373,0.02
75374,0.27
75375,0.03
75376,0.02
75377,0.0
75378,0.08
75379,0.02
75380,0.02
75381,0.0
75382,0.01
75383,0.17
75384,0.19
75385,0.01
75386,0.03
75387,0.05
75388,0.09
75389,0.0
75390,0.01
75391,0.0
75392,0.04
75393,0.0
75394,0.04
75395,0.01
75396,0.11
75397,0.2
75398,0.0
75399,0.0
75400,0.02
75401,0.63
75402,0.0
75403,0.01
75404,0.02
75405,0.23
75406,0.25
75407,0.02
75408,0.07
75409,0.04
75410,0.01
75411,0.2
75412,0.15
75413,0.03
75414,0.02
75415,0.11
75416,0.07
75417,0.04
75418,0.07
75419,0.04
75420,0.0
75421,0.03
75422,0.0
75423,0.03
75424,0.14
75425,0.0
75426,0.05
75427,0.06
75428,0.39
75429,0.01
75430,0.02
75431,0.09
75432,0.01
75433,0.01
75434,0.01
75435,0.12
