recorded_at,flag_A,flag_B,voltage,temp,count,note,source_file
2025-12-06 07:00:32,FALSE,TRUE,9.70,50.11,588,Sample note 1 at 2025-12-06 07:00:32,telemetry_20251206_070932.csv
2025-12-06 07:01:32,FALSE,FALSE,7.63,-40.79,471,Sample note 2 at 2025-12-06 07:01:32,telemetry_20251206_070932.csv
2025-12-06 07:02:32,FALSE,TRUE,9.09,50.24,212,Sample note 3 at 2025-12-06 07:02:32,telemetry_20251206_070932.csv
2025-12-06 07:03:32,TRUE,TRUE,8.89,-13.65,867,Sample note 4 at 2025-12-06 07:03:32,telemetry_20251206_070932.csv
2025-12-06 07:04:32,TRUE,TRUE,11.29,65.27,642,Sample note 5 at 2025-12-06 07:04:32,telemetry_20251206_070932.csv
2025-12-06 07:05:32,FALSE,TRUE,4.36,-13.64,92,Sample note 6 at 2025-12-06 07:05:32,telemetry_20251206_070932.csv
2025-12-06 07:06:32,FALSE,FALSE,11.59,45.51,794,Sample note 7 at 2025-12-06 07:06:32,telemetry_20251206_070932.csv
2025-12-06 07:07:32,FALSE,FALSE,4.99,-49.01,524,Sample note 8 at 2025-12-06 07:07:32,telemetry_20251206_070932.csv
2025-12-06 07:08:32,FALSE,TRUE,11.23,-9.83,250,Sample note 9 at 2025-12-06 07:08:32,telemetry_20251206_070932.csv
2025-12-06 07:09:32,FALSE,TRUE,3.97,2.38,932,Sample note 10 at 2025-12-06 07:09:32,telemetry_20251206_070932.csv
