recorded_at,flag_A,flag_B,voltage,temp,count,note,source_file
2025-12-09T13:02:13Z,ЛОЖЬ,ЛОЖЬ,5.70,37.66,842,Sample note 1 at 2025-12-09T13:02:13Z,telemetry_20251209_131113.csv
2025-12-09T13:03:13Z,ЛОЖЬ,ЛОЖЬ,4.46,70.89,994,Sample note 2 at 2025-12-09T13:03:13Z,telemetry_20251209_131113.csv
2025-12-09T13:04:13Z,ЛОЖЬ,ИСТИНА,7.51,-2.77,448,Sample note 3 at 2025-12-09T13:04:13Z,telemetry_20251209_131113.csv
2025-12-09T13:05:13Z,ИСТИНА,ИСТИНА,5.73,-1.11,209,Sample note 4 at 2025-12-09T13:05:13Z,telemetry_20251209_131113.csv
2025-12-09T13:06:13Z,ЛОЖЬ,ЛОЖЬ,11.25,51.38,739,Sample note 5 at 2025-12-09T13:06:13Z,telemetry_20251209_131113.csv
2025-12-09T13:07:13Z,ЛОЖЬ,ИСТИНА,10.72,-12.27,559,Sample note 6 at 2025-12-09T13:07:13Z,telemetry_20251209_131113.csv
2025-12-09T13:08:13Z,ИСТИНА,ЛОЖЬ,3.59,3.77,666,Sample note 7 at 2025-12-09T13:08:13Z,telemetry_20251209_131113.csv
2025-12-09T13:09:13Z,ИСТИНА,ЛОЖЬ,6.10,27.38,975,Sample note 8 at 2025-12-09T13:09:13Z,telemetry_20251209_131113.csv
2025-12-09T13:10:13Z,ИСТИНА,ЛОЖЬ,8.92,-29.92,404,Sample note 9 at 2025-12-09T13:10:13Z,telemetry_20251209_131113.csv
2025-12-09T13:11:13Z,ЛОЖЬ,ЛОЖЬ,3.90,60.73,196,Sample note 10 at 2025-12-09T13:11:13Z,telemetry_20251209_131113.csv
