Dataset,Model,Rows,Train rows,Test rows,Accuracy,Precision,Recall,F1,ROC-AUC
Сырые данные,Logistic Regression,299,224,75,0.8266666666666667,0.84375,0.7714285714285715,0.8059701492537313,0.932142857142857
Сырые данные,Weighted Voting Ensemble,299,224,75,0.8133333333333334,0.8620689655172413,0.7142857142857143,0.78125,0.9285714285714286
Сырые данные,Random Forest,299,224,75,0.8,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.9142857142857144
Сырые данные,Voting Ensemble,299,224,75,0.8,0.8571428571428571,0.6857142857142857,0.7619047619047619,0.9271428571428572
Сырые данные,Gradient Boosting,299,224,75,0.7733333333333333,0.8461538461538461,0.6285714285714286,0.7213114754098361,0.8557142857142858
Предобработанные данные,Voting Ensemble,918,688,230,0.8565217391304348,0.8507462686567164,0.8976377952755905,0.8735632183908046,0.9134230248805294
Предобработанные данные,Weighted Voting Ensemble,918,688,230,0.8521739130434782,0.8549618320610687,0.8818897637795275,0.8682170542635659,0.913499471635364
Предобработанные данные,Logistic Regression,918,688,230,0.8478260869565217,0.8538461538461538,0.8740157480314961,0.8638132295719845,0.9178961853069337
Предобработанные данные,Random Forest,918,688,230,0.8434782608695652,0.8473282442748091,0.8740157480314961,0.8604651162790697,0.9066967357235669
Предобработанные данные,Gradient Boosting,918,688,230,0.8304347826086956,0.8188405797101449,0.889763779527559,0.8528301886792453,0.9028361746043881
