Train source,Generator,Size multiplier,Model,Train rows,Real test rows,Accuracy,Precision,Recall,F1,ROC-AUC,F1 > raw GB baseline,F1 gap to lab2 best
Real train,Real,x1,Weighted Voting Ensemble,688,230,0.8608695652173913,0.8571428571428571,0.8976377952755905,0.8769230769230769,0.9165965904747344,True,7.692307690820854e-08
Real train,Real,x1,Voting Ensemble,688,230,0.8565217391304348,0.8507462686567164,0.8976377952755905,0.8735632183908046,0.9139209540555003,True,-0.003359781609195367
Real train,Real,x1,Logistic Regression,688,230,0.8478260869565217,0.8538461538461538,0.8740157480314961,0.8638132295719845,0.9178961853069337,True,-0.013109770428015532
Real train,Real,x1,Random Forest,688,230,0.8434782608695652,0.8473282442748091,0.8740157480314961,0.8604651162790697,0.9064291720816452,True,-0.016457883720930266
Synthetic Neural DAE x3,Neural DAE,x3,Weighted Voting Ensemble,2064,230,0.8434782608695652,0.8527131782945736,0.8661417322834646,0.859375,0.9151441021328645,True,-0.017548000000000008
Synthetic Neural DAE x3,Neural DAE,x3,Random Forest,2064,230,0.8434782608695652,0.8527131782945736,0.8661417322834646,0.859375,0.9014601330173534,True,-0.017548000000000008
Synthetic Neural DAE x1,Neural DAE,x1,Random Forest,688,230,0.8391304347826087,0.8409090909090909,0.8740157480314961,0.8571428571428571,0.8904518003210764,True,-0.019780142857142913
Synthetic Neural DAE x3,Neural DAE,x3,Voting Ensemble,2064,230,0.8391304347826087,0.8515625,0.8582677165354331,0.8549019607843137,0.9127742527329715,True,-0.022021039215686322
Real train,Real,x1,Gradient Boosting,688,230,0.8304347826086956,0.8188405797101449,0.889763779527559,0.8528301886792453,0.9028361746043881,True,-0.024092811320754692
Synthetic GMM x3,GMM,x3,Gradient Boosting,2064,230,0.8304347826086956,0.8188405797101449,0.889763779527559,0.8528301886792453,0.8906811405855822,True,-0.024092811320754692
Synthetic GMM x3,GMM,x3,Voting Ensemble,2064,230,0.8304347826086956,0.8235294117647058,0.8818897637795275,0.8517110266159695,0.8945799250821803,True,-0.025211973384030473
Synthetic Neural DAE x3,Neural DAE,x3,Logistic Regression,2064,230,0.8347826086956521,0.8449612403100775,0.8582677165354331,0.8515625,0.917361058023087,True,-0.025360500000000008
Synthetic Neural DAE x3,Neural DAE,x3,Gradient Boosting,2064,230,0.8304347826086956,0.8384615384615385,0.8582677165354331,0.8482490272373541,0.9064291720816452,True,-0.02867397276264594
Synthetic Neural DAE x1,Neural DAE,x1,Voting Ensemble,688,230,0.8304347826086956,0.8384615384615385,0.8582677165354331,0.8482490272373541,0.9022246005657061,True,-0.02867397276264594
Synthetic GMM x3,GMM,x3,Weighted Voting Ensemble,2064,230,0.8217391304347826,0.8161764705882353,0.8740157480314961,0.844106463878327,0.8969497744820731,True,-0.03281653612167301
Synthetic Neural DAE x1,Neural DAE,x1,Gradient Boosting,688,230,0.8130434782608695,0.8333333333333334,0.8267716535433071,0.8300395256916996,0.8945799250821803,True,-0.04688347430830042
Synthetic GMM x3,GMM,x3,Random Forest,2064,230,0.8,0.7913669064748201,0.8661417322834646,0.8270676691729323,0.8831129118568917,True,-0.04985533082706772
Synthetic Neural DAE x1,Neural DAE,x1,Weighted Voting Ensemble,688,230,0.808695652173913,0.8267716535433071,0.8267716535433071,0.8267716535433071,0.9017659200366944,True,-0.05015134645669295
Synthetic GMM x3,GMM,x3,Logistic Regression,2064,230,0.8043478260869565,0.8153846153846154,0.8346456692913385,0.8249027237354085,0.8974084550110847,True,-0.05202027626459149
Synthetic GMM x1,GMM,x1,Logistic Regression,688,230,0.8043478260869565,0.8253968253968254,0.8188976377952756,0.8221343873517787,0.8878526106566775,True,-0.054788612648221324
Synthetic GMM x1,GMM,x1,Voting Ensemble,688,230,0.8,0.8188976377952756,0.8188976377952756,0.8188976377952756,0.8840302729149148,True,-0.05802536220472443
Synthetic Neural DAE x1,Neural DAE,x1,Logistic Regression,688,230,0.8,0.824,0.8110236220472441,0.8174603174603174,0.8982493693142726,True,-0.059462682539682565
Synthetic Expert Rules x3,Expert Rules,x3,Logistic Regression,2064,230,0.7913043478260869,0.7925925925925926,0.84251968503937,0.816793893129771,0.887088143108325,True,-0.06012910687022899
Synthetic GMM x1,GMM,x1,Weighted Voting Ensemble,688,230,0.7956521739130434,0.8174603174603174,0.8110236220472441,0.8142292490118577,0.8860178885406315,True,-0.06269375098814234
Synthetic GMM x1,GMM,x1,Random Forest,688,230,0.7913043478260869,0.816,0.8031496062992126,0.8095238095238095,0.8855592080116198,True,-0.06739919047619047
Synthetic Expert Rules x3,Expert Rules,x3,Weighted Voting Ensemble,2064,230,0.782608695652174,0.7984496124031008,0.8110236220472441,0.8046875,0.8796728078893051,True,-0.07223550000000001
Synthetic GMM x1,GMM,x1,Gradient Boosting,688,230,0.782608695652174,0.8031496062992126,0.8031496062992126,0.8031496062992126,0.8748184389572663,True,-0.07377339370078739
Synthetic Expert Rules x3,Expert Rules,x3,Random Forest,2064,230,0.782608695652174,0.8290598290598291,0.7637795275590551,0.7950819672131147,0.864536350431924,True,-0.08184103278688526
Synthetic Expert Rules x3,Expert Rules,x3,Voting Ensemble,2064,230,0.7695652173913043,0.8032786885245902,0.7716535433070866,0.7871485943775101,0.8649185842061005,True,-0.08977440562248995
Synthetic Expert Rules x1,Expert Rules,x1,Random Forest,688,230,0.7652173913043478,0.792,0.7795275590551181,0.7857142857142857,0.8360217108783733,True,-0.09120871428571431
Synthetic Expert Rules x1,Expert Rules,x1,Logistic Regression,688,230,0.7565217391304347,0.7709923664122137,0.7952755905511811,0.7829457364341085,0.857044568458069,True,-0.09397726356589153
Synthetic Expert Rules x1,Expert Rules,x1,Weighted Voting Ensemble,688,230,0.7521739130434782,0.7692307692307693,0.7874015748031497,0.7782101167315175,0.8529164436969651,True,-0.09871288326848249
Synthetic Expert Rules x1,Expert Rules,x1,Voting Ensemble,688,230,0.7521739130434782,0.7734375,0.7795275590551181,0.7764705882352941,0.8434370460973932,True,-0.10045241176470587
Synthetic Expert Rules x1,Expert Rules,x1,Gradient Boosting,688,230,0.7478260869565218,0.7851239669421488,0.7480314960629921,0.7661290322580645,0.8273832275819891,True,-0.1107939677419355
Synthetic Expert Rules x3,Expert Rules,x3,Gradient Boosting,2064,230,0.7304347826086957,0.7927927927927928,0.6929133858267716,0.7394957983193278,0.8333460744591392,True,-0.13742720168067224
